ASIN,SKU集合,上周,上上周,上周单量,上上周单量,单量环比%,上周销售额,上上周销售额,销售额环比%,上周广告花费,上上周广告花费,上周TACOS%,上上周TACOS%,TACOS环比%,预警标记,需补充广告指标
B0CRYMGRST,KC4SGE03500,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CSYB8ZYC,KC4PSP17100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CSYFB6P2,KC4PSP18200,2026-W35,2026-W34,1.0,0.0,N/A,1162.8,0.0,N/A,2.72,9.05,0.23,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CTZYMR7H,KC4PSP16200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CWKPGTGY,KC4SGE04300,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CX16JK94,KC4PSP15800,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,14.49,28.43,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CX1CHLNC,KC4SGE03800,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CX1CKPYX,KC4SGE05000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CX1DNSRM,KC4SGE02700,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,12.38,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CX1DS5ZW,KC4SGE04800,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,13.06,2.59,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CX1DX6S7,KC4PSP16900,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CX1DYCRD,KC4PSP18200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CX1F1KG7,KC4SGE01300,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
